location,primary_landcover,secondary_landcover,tertiary_landcover,distance_from_origin,x,y,height_from_ground,footprint_radius,footprint_area
68,Bare ground,Dasyochloa pulchella (fluffgrass),Wire,68,-106.6350662,32.58211678,0.94615,0.360792299,0.721584598
69,Larrea tridentata (creosote),Bare ground,,69,-106.6350631,32.58211657,0.9525,0.361911978,0.723823956
70,Bare ground,Dasyochloa pulchella (fluffgrass),,70,-106.63506,32.58211636,0.95885,0.363031657,0.726063314
71,Bare ground,Dasyochloa pulchella (fluffgrass),,71,-106.6350569,32.58211615,0.9525,0.361911978,0.723823956
72,Bare ground,Dasyochloa pulchella (fluffgrass),Prosopis glandulosa (honey mesquite),72,-106.6350538,32.58211595,0.9525,0.361911978,0.723823956
73,Prosopis glandulosa (honey mesquite),,,73,-106.6350507,32.58211574,0.9398,0.35967262,0.71934524
74,Bare ground,Wire,,74,-106.6350476,32.58211553,0.92075,0.356313583,0.712627166
75,Bare ground,Larrea tridentata (creosote),,75,-106.6350445,32.58211532,0.9017,0.352954546,0.705909092
76,Bare ground,,,76,-106.6350414,32.58211511,0.9271,0.357433262,0.714866524
77,Bare ground,Larrea tridentata (creosote),,77,-106.6350383,32.5821149,0.9398,0.35967262,0.71934524
78,Bare ground,,,78,-106.6350352,32.58211469,0.9398,0.35967262,0.71934524
79,Larrea tridentata (creosote),Bare ground,,79,-106.6350321,32.58211448,0.88265,0.349595509,0.699191019
80,Larrea tridentata (creosote),Bare ground,,80,-106.635029,32.58211427,0.9017,0.352954546,0.705909092
81,Bare ground,Larrea tridentata (creosote),,81,-106.6350259,32.58211406,0.9398,0.35967262,0.71934524
82,Bare ground,Litter,,82,-106.6350228,32.58211385,0.9144,0.355193904,0.710387808
83,Larrea tridentata (creosote),Bare ground,,83,-106.6350197,32.58211365,0.9271,0.357433262,0.714866524
84,Bare ground,,,84,-106.6350166,32.58211344,0.9144,0.355193904,0.710387808
85,Bare ground,Larrea tridentata (creosote),,85,-106.6350135,32.58211323,0.9271,0.357433262,0.714866524
86,Larrea tridentata (creosote),,,86,-106.6350104,32.58211302,0.8636,0.346236472,0.692472945
87,Larrea tridentata (creosote),,,87,-106.6350073,32.58211281,0.86995,0.347356151,0.694712303
88,Prosopis glandulosa (honey mesquite),Bare ground,,88,-106.6350042,32.5821126,0.889,0.350715188,0.701430376
89,Prosopis glandulosa (honey mesquite),,,89,-106.6350011,32.58211239,0.8382,0.341757757,0.683515513
90,Prosopis glandulosa (honey mesquite),,,90,-106.634998,32.58211218,0.8636,0.346236472,0.692472945
91,Bare ground,Larrea tridentata (creosote),Prosopis glandulosa (honey mesquite),91,-106.6349949,32.58211197,0.889,0.350715188,0.701430376
92,Larrea tridentata (creosote),,,92,-106.6349918,32.58211176,0.889,0.350715188,0.701430376
93,Larrea tridentata (creosote),Wire,Bare ground,93,-106.6349887,32.58211155,0.9271,0.357433262,0.714866524
94,Larrea tridentata (creosote),Bare ground,,94,-106.6349856,32.58211135,0.8509,0.343997114,0.687994229
95,Larrea tridentata (creosote),Bare ground,,95,-106.6349825,32.58211114,1.0414,0.377587483,0.755174966
96,Larrea tridentata (creosote),Muhlenbergia porteri (bush muhly),Bare ground,96,-106.6349794,32.58211093,0.889,0.350715188,0.701430376
97,Larrea tridentata (creosote),Bare ground,,97,-106.6349763,32.58211072,1.016,0.373108767,0.746217535
98,Bare ground,,,98,-106.6349732,32.58211051,1.0033,0.370869409,0.741738819
99,Larrea tridentata (creosote),Bare ground,Wire,99,-106.6349701,32.5821103,0.9906,0.368630052,0.737260103
100,Larrea tridentata (creosote),Bare ground,,100,-106.634967,32.58211009,1.0414,0.377587483,0.755174966
101,Bare ground,,,101,-106.6349639,32.58210988,0.9906,0.368630052,0.737260103
102,Bare ground,,,102,-106.6349608,32.58210967,0.9144,0.355193904,0.710387808
103,Prosopis glandulosa (honey mesquite),,,103,-106.6349577,32.58210946,0.9398,0.35967262,0.71934524
104,Prosopis glandulosa (honey mesquite),,,104,-106.6349546,32.58210925,1.0414,0.377587483,0.755174966
105,Prosopis glandulosa (honey mesquite),Wire,,105,-106.6349515,32.58210905,0.9906,0.368630052,0.737260103
106,Prosopis glandulosa (honey mesquite),,,106,-106.6349484,32.58210884,0.8128,0.337279041,0.674558082
107,Prosopis glandulosa (honey mesquite),,,107,-106.6349453,32.58210863,0.8128,0.337279041,0.674558082
108,Prosopis glandulosa (honey mesquite),,,108,-106.6349422,32.58210842,0.8128,0.337279041,0.674558082
109,Prosopis glandulosa (honey mesquite),Bare ground,,109,-106.6349391,32.58210821,0.8128,0.337279041,0.674558082
110,Larrea tridentata (creosote),Muhlenbergia porteri (bush muhly),,110,-106.634936,32.582108,0.8128,0.337279041,0.674558082
