name,abbrev,w1,w2,w3,w4,expression,expression_form,reference
Gitelson 5,gitelson5,700,800,,,(1/R700)-(1/R800),(1/p1)-(1/p2),"Gitelson, A. A., U. Gritz, and M. N. Merzlyak (2003), Relationships between leaf chlorophyll content and spectral reflectance and algorithms for non-destructive chlorophyll assessment in higher plant leaves, J. Plant Physiol., 160, 271- 282."
Greenness 1,green1,554,675,,,(R554/R675),p1/p2,
Modified Normalized Difference Vegetation Index (mNDVI),mndvi,750,705,445,,(R750-R705)/ (R750+R705-2*R445),(p1-p2)/(p1+p2-(2*p3)),
Modified Simple Ratio,msr,750,445,705,,(R750-R445)/ (R705-R445),(p1-p2)/(p3-p2),"D.A. Sims, J.A. Gamon / Remote Sensing of Environment 81 (2002) 337-354"
Normalized Difference 1,nd1,682,553,,,(R682-R553)/ (R682+R553),(p1-p2)/(p1+p2),"S. Gandia, G. Fernandez, J.C. Garcia and J. Moreno ""Retrieval of Vegetation Biophysical Variables from CHRIS/Proba Data in the SPARC Campaign"", Proceedings of the 2nd CHRIS/Proba Workshop, ESRIN, Frascati, Italy, 2004."
Normalized Difference 2,nd2,708,546,,,(R708-R546)/ (R708+R546),(p1-p2)/(p1+p2),
Normalized Difference 3,nd3,750,705,,,(R750-R705)/ (R750+R705),(p1-p2)/(p1+p2),"D.A. Sims, J.A. Gamon / Remote Sensing of Environment 81 (2002) 337-354"
Normalized Difference Soil Water Index - Linear,ndswi-lin,460,1000,,,(R460-R1000)/(R460+R1000),(p1-p2)/(p1+p2),"Goswami, S., J. A. Gamon, and C. E. Tweedie. 2011. Surface hydrology of an arctic ecosystem: Multiscale analysis of a flooding and draining experiment using spectral reflectance. Journal of Geophysical Research-Biogeosciences 116:Paper #G00I07, 01-14."
Normalized Difference Soil Water Index - Log,ndswi-log,460,1000,,,(log(R1000)-log(R460))/(log(R1000)+log(R460)),(log(p2)-log(p1))/(log(p2)+log(p1)),"Goswami, S., J. A. Gamon, and C. E. Tweedie. 2011. Surface hydrology of an arctic ecosystem: Multiscale analysis of a flooding and draining experiment using spectral reflectance. Journal of Geophysical Research-Biogeosciences 116:Paper #G00I07, 01-14."
Normalized Difference Vegetation Index 1,ndvi1,800,680,,,(R800-R680)/ (R800+R680),(p1-p2)/(p1+p2),
Normalized Difference Vegetation Index 2,ndvi2,800,667,,,(R800-R667)/ (R800+R667),(p1-p2)/(p1+p2),
Normalized Difference Vegetation Index 3,ndvi3,750,667,,,(R750-R667)/ (R750+R667),(p1-p2)/(p1+p2),
Normalized Difference Vegetation Index 4,ndvi4,774,677,,,(R774-R677)/ (R774+R677),(p1-p2)/(p1+p2),
Optimized Soil Adjusted Vegetation Index (OSAVI),osavi,800,670,,,1.16*(R800-R670)/ (R800+R670+0.16),1.16*(p1-p2)/(p1+p2+1.16),"Rondeaux, G., Steven, M., & Baret, F. (1996). Optimization of soil-adjusted vegetation indices. Remote Sensing of Environment, 55, 95- 107"
Phytochrome 1,phyt1,730,652,,,R730/ (R730+R652) ,p1/(p1+p2),
Phytochrome 2,phyt2,730,652,,,(R730-R652)/ (R730+R652),(p1-p2)/(p1+p2),
Phytochrome 3,phyt3,724,654,,,R724/ (R724+R654),p1/(p1+p2),
Phytochrome 4,phyt4,724,654,,,(R724-R654)/ (R724+R654),(p1-p2)/(p1+p2),
Phytochrome 5,phyt5,730,666,,,R730/ (R730+R666),p1/(p1+p2),
Phytochrome 6,phyt6,730,666,,,(R730-R666)/ (R730+R666),(p1-p2)/(p1+p2),
Photochemical Reflectance Index 1,pri1,531,570,,,(R531-R570)/ (R531+R570),(p1-p2)/(p1+p2),John Gamon et al 1992
Photochemical Reflectance Index 2,pri2,530,550,,,(R530-R550)/ (R530+R550),(p1-p2)/(p1+p2),"Sims DA, Gamon JA (2002) Relationship between leaf pigment content and spectral reflectance across a wide range species, leaf structures and development stages. Remote Sens Environ 81: 337-354"
Photochemical Reflectance Index 3,pri3,531,670,,,(R531-R670)/ (R531+R670),(p1-p2)/(p1+p2),"Gamon, J.A., L. Serrano, and J.S. Surfus, 1997. The Photochemical Reflectance index: An Optical Indicator of Photosynthetic Radiation Use Efficiency Across Species, Functional Types and Nutrient Levels. Oecologia 112:492-501. "
Photochemical Reflectance Index 4,pri4,531,667,,,(R531-R667)/ (R531+R667),(p1-p2)/(p1+p2),
Plant Senscence Reflectance Index,psri,680,500,750,,(R680-R500)/R750,(p1-p2)/p3,"Merzlyak MN, Gitelson AA, Chivkunova OB, Rakitin VY (1999) Non-destructive optical detection of pigment changes during leaf senescence and fruit ripening. Physiologia Plantarum 106: 135-141"
Reflectance Phytochrome,rphyto,730,665,,,R730/ (R730+R665),p1/(p1+p2),
RFFR 1,rffr1,730,650,,,R730-R650,p1-p2,
RFFR 2,rffr2,730,650,685,,(R730-R650)/ (R685+R650),(p1-p2)/(p3+p2),
RF Green,rfgreen,525,550,,,R525-R550,p1-p2,
RF Red,rfred,690,650,,,R690-R650,p1-p2,
RI,ri,678,667,,,(R678-R667)/ (R678+R667),(p1-p2)/(p1+p2),
Structure Independent Pigment Index,sipi,800,450,650,,(R800-R450)/ (R800-R650),(p1-p2)/(p1+p2),"Penuelas, J., Filella, I. and Gamon, J.A. 1995. Assessment of photosynthetic radiation-use efficiency with spectral reflectance. New Phytol., 131: 291-296."
Simple Ratio 01,sr01,430,762,,,R430/R762,p1/p2,
Simple Ratio 02,sr02,550,430,,,R550/R430,p1/p2,
Simple Ratio 03,sr03,550,650,,,R550/R650,p1/p2,
Simple Ratio 04,sr04,672,550,,,R672/R550,p1/p2,
Simple Ratio 05,sr05,685,655,,,R685/R655,p1/p2,
Simple Ratio 06,sr06,690,655,,,R690/R655,p1/p2,
Simple Ratio 07,sr07,705,715,,,R705/R715,p1/p2,
Simple Ratio 08,sr08,705,930,,,R705/R930,p1/p2,
Simple Ratio 09,sr09,708,545,,,R708/R545,p1/p2,
Simple Ratio 10,sr10,750,550,,,R750/R550,p1/p2,
Simple Ratio 11,sr11,750,700,,,R750/R700,p1/p2,
Simple Ratio 12,sr12,750,705,,,R750/R705,p1/p2,
Simple Ratio 13,sr13,752,690,,,R752/R690,p1/p2,
Simple Ratio 14,sr14,775,675,,,R775/R675,p1/p2,
Simple Ratio 15,sr15,800,650,,,R800/R650,p1/p2,
Simple Ratio 16,sr16,800,680,,,R800/R680,p1/p2,
Simple Ratio 17,sr17,800,750,,,R800/R750,p1/p2,
Simple Ratio 18,sr18,860,550,,,R860/R550,p1/p2,
Vogelman Red Edge 1,vog1,740,720,,,R740/R720,p1/p2,"Vogelmann, J.E., Rock, B.N. and Moss, D.M. 1993. Red edge spectral measurements in sugar maple leaves. Int. J. Remote Sens., 14(8): 1563-1575."
Vogelman Red Edge 2,vog2,734,747,715,726,(R734-R747)/ (R715+R726) ,(p1-p2)/(p3+p4),"Vogelmann, J.E., Rock, B.N. and Moss, D.M. 1993. Red edge spectral measurements in sugar maple leaves. Int. J. Remote Sens., 14(8): 1563-1575."
Vogelman Red Edge 3,vog3,734,747,715,720,(R734-R747)/ (R715+R720),(p1-p2)/(p3+p4),"Vogelmann, J.E., Rock, B.N. and Moss, D.M. 1993. Red edge spectral measurements in sugar maple leaves. Int. J. Remote Sens., 14(8): 1563-1575."
Water Band Index,wbi,900,970,,,R900/R970,p1/p2,"Claudio, H., et al. (2006). ""Monitoring drought effects on vegetation water content and fluxes in chaparral with the 970 nm water band index."" Remote Sensing of Environment 103(3): 304-311."
